time,x,y,z,roll,pitch,yaw,framenum,valid,x_lpe,y_lpe,z_lpe,r_lpe,p_lpe,y_lpe
21.028215,0.198669,-0.0438088,0.381595,-0.017777,-0.0304639,-0.083667,139,0,0.0146477,0.0753541,0.597189,-0.0362667,-0.0116159,-0.0820869
21.162073,0.176637,-0.0636633,0.372115,-0.0180488,-0.022714,-0.0906738,140,0,-0.0208052,0.0782682,0.563848,-0.0317066,0.00620524,-0.096035
21.295931,0.149959,-0.056572,0.328798,-0.0171273,0.0118653,-0.107177,141,0,-0.0526571,0.0862178,0.534931,-0.0356741,0.0349838,-0.103679
21.396325,0.124211,-0.0507434,0.314635,-0.0128563,0.0106938,-0.0929623,142,0,-0.0868532,0.0933342,0.488051,-0.0212641,0.019505,-0.077827
21.530183,0.0987003,-0.0278639,0.283122,-0.00442932,0.0147934,-0.0843223,143,0,-0.0963162,0.100353,0.470305,-0.0179039,0.0285253,-0.0733194
21.630576,0.070885,-0.0261758,0.255378,0.00644054,0.0318666,-0.0752727,144,0,-0.0887702,0.0931603,0.443013,-0.004854,0.0303512,-0.0688025
21.697505,0.0699336,-0.0154992,0.246346,0.0147987,0.0243685,-0.0738668,145,0,-0.0965868,0.0951814,0.412678,0.0056297,0.0136036,-0.0662694
21.831427,0.0542692,-0.0172734,0.206434,0.0187766,0.00319118,-0.0758223,146,0,-0.108284,0.0971161,0.371473,0.00818489,0.0045594,-0.0681769
21.932042,0.0481647,-0.0338582,0.135873,0.0122403,0.0235846,-0.0574816,147,0,-0.119753,0.0988393,0.329181,-0.00169426,0.0362832,-0.0523015
22.066281,0.0182,-0.0194121,0.114663,-0.0090972,0.0454803,-0.0474086,148,0,-0.138901,0.104258,0.239647,-0.0424952,0.0409983,-0.0380964
22.200520,-0.0045493,-0.0188049,0.0864447,-0.0411039,0.0418679,-0.0431544,149,0,-0.148012,0.107738,0.221417,-0.0553571,0.0391267,-0.039904
22.234080,-0.00901753,-0.0227498,0.0709609,-0.0406497,0.0508327,-0.0424614,150,0,-0.157971,0.111883,0.256493,-0.0407034,0.0618893,-0.0394596
22.502558,-0.0329095,-0.0137417,0.0189445,-0.0285504,0.105269,-0.0349306,151,0,-0.164156,0.122273,0.201045,-0.0553584,0.103881,-0.0320237
22.536118,-0.0367334,-0.00485286,0.0320346,-0.0632326,0.103264,-0.0314411,152,0,-0.166492,0.125208,0.189303,-0.066126,0.0793642,-0.0122357
22.737476,-0.0427078,-0.020163,0.0031124,-0.0416152,0.0396479,0.00467194,153,0,-0.167074,0.126318,0.179371,-0.050221,0.0350292,0.00711568
22.838156,-0.0398737,-0.0440635,0.014215,-0.0211065,0.0271909,0.0107758,154,0,-0.167074,0.126318,0.16863,-0.0277457,0.0104668,0.00103553
22.972395,-0.0450865,-0.0374016,0.00718269,-0.00169653,0.00717092,0.00245517,155,0,-0.167074,0.126318,0.15826,-0.00848454,-0.00345983,0.000161962
23.073074,-0.0486777,-0.0323714,0.0100392,0.000557552,0.00725014,0.00377629,156,0,-0.167074,0.126318,0.154149,-0.00848157,-0.00315261,8.07802e-05
24.646667,-0.0686082,-0.03966,-0.00580562,-0.00244772,0.00507512,0.00288466,157,0,-0.167074,0.126318,-2.04606e-17,-0.006984,-0.00379939,0.000272946
25.250902,-0.0824787,-0.0458241,-0.00706391,-0.00290013,0.00595631,0.00381101,158,0,-0.167074,0.126318,-2.04606e-17,-0.00684414,-0.00380731,0.000936345
